,title,glass,garnish,recipe,ingredients,raw_ingredients,cocktail_strength,sweet_t,sour_t,savory_t,bitter_t,cream_t,spicy_t,fruity_t
0,Abacaxi Ricaço,35.5,Cut a straw sized hole in the top of the pineapple shell & replace it as a lid,"Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).","[['1 whole', 'pineapple'], ['9 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'White caster sugar']]","[['1 whole', 'pineapple'], ['9 cl', 'white rum'], ['2.25 cl', 'lime juice'], ['1.5 cl', 'white sugar']]",0.3730909090909091,0,0,0,0,0,0,0
1,Abbey,17.75,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lillet Blanc (or other aromatized wine)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters']]","[['4.5 cl', 'gin'], ['2.25 cl', 'lillet blanc'], ['2.25 cl', 'orange juice'], ['2 dash', 'angostura']]",0.1554545454545454,0,0,0,0,0,0,0
2,A.B.C. Cocktail,20.7,Lemon zest twist & Luxardo Maraschino cherry,"TEAR mint and place in shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['7 fresh', 'Mint leaves'], ['3 cl', 'Tawny port'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['7 fresh', 'mint leaves'], ['3 cl', 'tawny port'], ['3 cl', 'cognac'], ['0.75 cl', 'maraschino'], ['0.5 cl', 'sugar syrup']]",0.1184210526315789,0,0,0,0,0,0,0
3,Absinthe Cocktail,17.75,Mint leaf,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'La Fée Parisienne absinthe'], ['7.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'absinthe'], ['7.5 cl', 'chilled water'], ['0.75 cl', 'sugar syrup']]",0.2,0,0,0,0,0,0,0
4,Absinthe Frappé,20.7,Mint sprig,SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with straws.,"[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Anisette liqueur'], ['4.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4.5 cl', 'absinthe'], ['1.5 cl', 'anisette liqueur'], ['4.5 cl', 'chilled water'], ['0.75 cl', 'sugar syrup']]",0.36,0,0,0,0,0,0,0
5,Absinthe Sour,20.7,Lemon zest twist & Luxardo Maraschino Cherry,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"[['2.5 cl', 'La Fée Parisienne absinthe'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['2 dash', ""Peychaud's or other Creole-style bitters (optional)""]]","[['2.5 cl', 'absinthe'], ['1 cl', 'sugar syrup'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'egg white'], ['2 dash', ""peychaud's bitter""]]",0.3264705882352941,0,0,0,0,0,0,0
6,Absinthe Suisesse,20.7,Mint sprig,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Pasteurised egg white'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['1.5 cl', 'Single cream / half-and-half']]","[['4.5 cl', 'absinthe'], ['1.5 cl', 'giffard orgeat syrup'], ['3 cl', 'egg white'], ['1.5 cl', 'milk'], ['1.5 cl', 'single cream / half-and-half']]",0.28125,0,0,0,0,0,0,0
7,Absinthe Without Leave,4.4,,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['2.25 cl', 'Pisang Ambon green banana liqueur'], ['2.25 cl', 'Irish cream liqueur'], ['1.5 cl', 'La Fée Parisienne absinthe']]","[['2.25 cl', 'pisang ambon green banana liqueur'], ['2.25 cl', 'irish cream'], ['1.5 cl', 'absinthe']]",0.525,0,0,0,0,0,0,0
8,Absolutely Fabulous,24.0,Strawberry,SHAKE first two ingredients with ice and strain into glass. TOP with champagne.,"[['3 cl', 'Ketel One Vodka'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Brut Champagne']]","[['3 cl', 'vodka'], ['4.5 cl', 'cranberry juice'], ['4.5 cl', 'brut champagne']]",0.14875,0,0,0,0,0,0,0
9,Acapulco,35.5,Pineapple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Patrón Reposado tequila'], ['3 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Grapefruit juice (pink)'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'tequila'], ['3 cl', 'white rum'], ['3 cl', 'grapefruit juice'], ['7.5 cl', 'pineapple juice'], ['1.5 cl', 'sugar syrup']]",0.1616666666666666,0,0,0,0,0,0,0
10,Acapulco Daiquiri,17.75,Lime wedge,"DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass.","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Pasteurised egg white']]","[['4.5 cl', 'white rum'], ['1.5 cl', 'triple sec'], ['2.25 cl', 'lemon juice'], ['2.25 cl', 'lime cordial'], ['1.5 cl', 'egg white']]",0.3299999999999999,0,0,0,0,0,0,0
11,Ace,17.75,Luxardo Maraschino cherry,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Grenadine syrup'], ['3 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Pasteurised egg white']]","[['5 cl', 'gin'], ['1.5 cl', 'giffard grenadine syrup'], ['3 cl', 'single cream / half-and-half'], ['1.5 cl', 'egg white']]",0.1727272727272727,0,0,0,0,0,0,0
12,Ace Of Clubs Daiquiri,23.7,Dust with chocolate powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Dutch Cacao white crème de cacao'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['1.5 cl', 'dutch cacao white crème de cacao'], ['6 cl', 'white rum'], ['1.5 cl', 'lime juice'], ['0.5 cl', 'sugar syrup']]",0.36,0,0,0,0,0,0,0
13,Achilles Heel,35.5,Apple slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bison grass vodka'], ['0.75 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.75 cl', 'Peachtree peach schnapps'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]","[['6 cl', 'vodka'], ['0.75 cl', 'giffard framboise de ronce'], ['0.75 cl', 'peachtree peach schnapps'], ['3 cl', 'apple juice'], ['1.5 cl', 'lemon juice']]",0.22,0,0,0,0,0,0,0
14,Adam & Eve,20.7,Lemon zest twist,SHAKE all ingredients with ice and strain into ice filled glass.,"[['6 cl', 'Bourbon whiskey'], ['1.5 cl', ""Galliano L'Autentico liqueur""], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters']]","[['6 cl', 'bourbon whiskey'], ['1.5 cl', ""galliano l'autentico liqueur""], ['0.75 cl', 'sugar syrup'], ['3 dash', 'angostura']]",0.3,0,0,0,0,0,0,0
15,Adios,4.4,,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Patrón Reposado tequila']]","[['2.25 cl', 'coffee liqueur'], ['2.25 cl', 'tequila']]",0.425,0,0,0,0,0,0,0
16,Adonis,17.75,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Oloroso sherry'], ['3 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'oloroso sherry'], ['3 cl', 'red vermouth'], ['2 dash', 'angostura']]",0.1718181818181818,0,0,0,0,0,0,0
17,Affinity,17.75,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Vermouth amaro'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]","[['3 cl', 'scotch whisky'], ['3 cl', 'vermouth amaro'], ['3 cl', 'dry vermouth'], ['1 dash', 'angostura']]",0.249,0,0,0,0,0,0,0
18,After Eight,4.4,,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe']]","[['1.5 cl', 'vodka'], ['1.5 cl', 'dutch cacao white crème de cacao'], ['1.5 cl', 'giffard peppermint pastille crème de menthe']]",0.1333333333333333,0,0,0,0,0,0,0
19,After Six Shot,4.4,,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Irish cream liqueur']]","[['1.5 cl', 'coffee liqueur'], ['1.5 cl', 'giffard menthe pastille white crème de menthe'], ['1.5 cl', 'irish cream']]",0.3,0,0,0,0,0,0,0
20,Afterburner,21.0,,"POUR all ingredients into glass, swirl to mix, Flambé and then extinguish flame. Please take care and beware of hot glass rim.","[['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'White overproof rum'], ['3 cl', 'Coffee liqueur']]","[['3 cl', 'giffard menthe pastille white crème de menthe'], ['1.5 cl', 'white rum'], ['3 cl', 'coffee liqueur']]",0.294,0,0,0,0,0,0,0
21,Aged Honey Daiquiri,17.75,Lime wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['1 cl', 'Chilled water (omit if using wet ice)']]","[['6 cl', 'amber rum'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'honey syrup'], ['1 cl', 'chilled water']]",0.3419999999999999,0,0,0,0,0,0,0
22,Aggravation,20.7,Dust with grated nutmeg,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'scotch whisky'], ['2.25 cl', 'coffee liqueur'], ['2.25 cl', 'single cream / half-and-half'], ['2.25 cl', 'milk'], ['0.75 cl', 'sugar syrup']]",0.275,0,0,0,0,0,0,0
23,Air Mail,30.0,Tip of a mint sprig or serve naked,SHAKE first 3 ingredients with ice and strain into an ice-filled glass (preferably a column of ice). TOP with champagne.,"[['3 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['4.5 cl', 'Brut Champagne']]","[['3 cl', 'white rum'], ['1.5 cl', 'lime juice'], ['1.5 cl', 'honey syrup'], ['4.5 cl', 'brut champagne']]",0.2185714285714285,0,0,0,0,0,0,0
24,A.J.,17.75,Dust with cinnamon powder,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Avallen Calvados'], ['6 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'calvados'], ['6 cl', 'grapefruit juice'], ['1.5 cl', 'sugar syrup']]",0.1777777777777778,0,0,0,0,0,0,0
25,Alabama Slammer (straight-up),23.7,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['2.25 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['3 cl', 'Orange juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup']]","[['4.5 cl', 'vodka'], ['2.25 cl', 'southern usa-style liqueur 40%'], ['3 cl', 'orange juice'], ['0.75 cl', 'giffard grenadine syrup']]",0.2678571428571428,0,0,0,0,0,0,0
26,Alabama Slammer,20.7,Peach slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Rutte Sloe Gin'], ['6 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]","[['4.5 cl', 'southern usa-style liqueur 40%'], ['1.5 cl', 'amaretto'], ['1.5 cl', 'gin'], ['6 cl', 'orange juice'], ['2.25 cl', 'lemon juice']]",0.1933333333333333,0,0,0,0,0,0,0
27,Alamagoozlum Cocktail,17.75,Pineapple wedge on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['2 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Jamaican aged blended rum'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['0.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Angostura Aromatic Bitters'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 cl', 'Chilled water'], ['1.5 cl', 'Pasteurised egg white']]","[['2 cl', 'rutte old simon genever'], ['1.5 cl', 'amber rum'], ['1.5 cl', 'yellow chartreuse liqueur'], ['0.5 cl', 'orange curaçao'], ['0.5 cl', 'angostura'], ['1 cl', 'sugar syrup'], ['2 cl', 'chilled water'], ['1.5 cl', 'egg white']]",0.1671428571428571,0,0,0,0,0,0,0
28,Alan's Apple Breeze,35.5,Apple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['4.5 cl', 'Apple juice'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'white rum'], ['1.5 cl', 'apricot brandy liqueur'], ['4.5 cl', 'apple juice'], ['4.5 cl', 'cranberry juice'], ['1.5 cl', 'lime juice'], ['0.75 cl', 'sugar syrup']]",0.2183999999999999,0,0,0,0,0,0,0
29,Alaska (Savoy recipe),20.7,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Yellow Chartreuse liqueur'], ['1 cl', 'Chilled water']]","[['4.5 cl', 'gin'], ['1.5 cl', 'yellow chartreuse liqueur'], ['1 cl', 'chilled water']]",0.3407142857142857,0,0,0,0,0,0,0
30,Alessandro,23.7,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Black sambuca liqueur'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['2.25 cl', 'Single cream / half-and-half']]","[['2.25 cl', 'gin'], ['2.25 cl', 'black sambuca liqueur'], ['2.25 cl', 'milk'], ['2.25 cl', 'single cream / half-and-half']]",0.2075,0,0,0,0,0,0,0
31,Alexander,17.75,Dust with grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half'], ['1 cl', 'Pasteurised egg white (optional)']]","[['4.5 cl', 'gin'], ['2.25 cl', 'dutch cacao white crème de cacao'], ['2.25 cl', 'single cream / half-and-half'], ['1 cl', 'egg white']]",0.1709999999999999,0,0,0,0,0,0,0
32,Alexander The Great,17.75,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['2.25 cl', 'Single cream / half-and-half']]","[['4.5 cl', 'vodka'], ['1.5 cl', 'coffee liqueur'], ['1.5 cl', 'dutch cacao white crème de cacao'], ['2.25 cl', 'single cream / half-and-half']]",0.2538461538461538,0,0,0,0,0,0,0
33,Alexander's Big Brother,23.7,Physalis (cape gooseberry) on rim,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'De Kuyper Blue Curaçao'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]","[['4.5 cl', 'gin'], ['0.75 cl', 'triple sec'], ['2.25 cl', 'de kuyper blue curaçao'], ['2.25 cl', 'single cream / half-and-half'], ['0.5 cl', 'sugar syrup'], ['0.75 cl', 'egg white']]",0.2679545454545454,0,0,0,0,0,0,0
34,Alexander's Sister,23.7,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe'], ['2.25 cl', 'Single cream / half-and-half'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Pasteurised egg white (optional)']]","[['4.5 cl', 'gin'], ['1.5 cl', 'giffard peppermint pastille crème de menthe'], ['2.25 cl', 'single cream / half-and-half'], ['0.5 cl', 'sugar syrup'], ['0.75 cl', 'egg white']]",0.18,0,0,0,0,0,0,0
35,Alexandra,23.7,Dust with freshly grated nutmeg,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Navy rum (54.5% alc./vol.)'], ['3 cl', 'Coffee liqueur'], ['3 cl', 'Single cream / half-and-half'], ['0.75 cl', 'Pasteurised egg white (optional)']]","[['4.5 cl', 'navy rum'], ['3 cl', 'coffee liqueur'], ['3 cl', 'single cream / half-and-half'], ['0.75 cl', 'egg white']]",0.348,0,0,0,0,0,0,0
36,Alfonso,24.0,Lemon zest twist,Coat sugar cube with bitters and drop into glass. POUR Dubonnet and then champagne into chilled glass.,"[['1 cube', 'White caster sugar'], ['4 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Dubonnet Red'], ['Top up with', 'Brut Champagne']]","[['1 cube', 'white sugar'], ['4 dash', 'angostura'], ['1.5 cl', 'dubonnet red'], ['Top up with', 'brut champagne']]",0.0173333333333333,0,0,0,0,0,0,0
37,Algonquin,17.75,Pineapple wedge & Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.25 cl', 'Martini Bianco vermouth'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['1 dash', ""Peychaud's or other Creole-style bitters (optional)""]]","[['4.5 cl', 'rye whiskey'], ['2.25 cl', 'bianco vermouth'], ['2.25 cl', 'pineapple juice'], ['1 dash', ""peychaud's bitter""]]",0.29025,0,0,0,0,0,0,0
38,Alice From Dallas,4.4,,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]","[['1.5 cl', 'coffee liqueur'], ['1.5 cl', 'cognac'], ['1.5 cl', 'tequila']]",0.4333333333333333,0,0,0,0,0,0,0
39,Alice In Wonderland,4.4,Lime wedge,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Patrón Reposado tequila']]","[['3 cl', 'cognac'], ['1.5 cl', 'tequila']]",0.4333333333333333,0,0,0,0,0,0,0
40,All Fall Down,4.4,,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Navy rum (54.5% alc./vol.)']]","[['1.5 cl', 'coffee liqueur'], ['1.5 cl', 'tequila'], ['1.5 cl', 'navy rum']]",0.4733333333333333,0,0,0,0,0,0,0
41,All White Frappé,20.7,Lemon zest twist,BLEND ingredients with 6oz scoop of crushed ice. Pour into glass and serve with short straws.,"[['3 cl', 'Luxardo Sambuca'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['3 cl', 'Lemon juice (freshly squeezed)']]","[['3 cl', 'luxardo sambuca'], ['3 cl', 'dutch cacao white crème de cacao'], ['3 cl', 'giffard menthe pastille white crème de menthe'], ['3 cl', 'lemon juice']]",0.105,0,0,0,0,0,0,0
42,Almond Cocktail,23.7,Sink three almonds,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Apple juice'], ['2 dash', 'Peach bitters (optional)']]","[['6 cl', 'vodka'], ['1.5 cl', 'lemon juice'], ['1.5 cl', 'giffard orgeat syrup'], ['3 cl', 'apple juice'], ['2 dash', 'peach bitters']]",0.2357142857142857,0,0,0,0,0,0,0
43,Almond Martini,23.7,Sink three almonds,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2.25 cl', 'Disaronno amaretto'], ['0.75 cl', 'Martini Extra Dry vermouth'], ['4 drop', ""Bob's Vanilla bitters""], ['1 cl', 'Chilled water']]","[['6 cl', 'vodka'], ['2.25 cl', 'amaretto'], ['0.75 cl', 'dry vermouth'], ['4 drop', ""bob's vanilla bitters""], ['1 cl', 'chilled water']]",0.3583928571428571,0,0,0,0,0,0,0
44,Almond Old Fashioned (tequila based),20.7,Orange zest twist,"STIR one shot of tequila with two ice cubes in a glass. Add amaretto, agave syrup, bitters and two more ice cubes. Stir some more then add another two ice cubes and the remaining tequila. Stir lots more so as to melt ice then add more ice. The melting and stirring in of ice cubes is essential to the dilution and taste of the drink.","[['6 cl', 'Patrón Reposado tequila'], ['0.75 cl', 'Disaronno amaretto'], ['0.75 cl', 'Agave syrup'], ['2 dash', 'Orange Bitters by Angostura']]","[['6 cl', 'tequila'], ['0.75 cl', 'amaretto'], ['0.75 cl', 'agave syrup'], ['2 dash', 'angostura']]",0.2763157894736842,0,0,0,0,0,0,0
45,Amaretto Sour,20.7,Spray aromatic bitters over foaming cocktail from atomiser and then garnish with lemon & cherry sail (lemon slice & Luxardo Maraschino cherry on stick),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"[['6 cl', 'Disaronno amaretto'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]","[['6 cl', 'amaretto'], ['3 cl', 'lemon juice'], ['1 dash', 'angostura'], ['1.5 cl', 'egg white']]",0.1565217391304347,0,0,0,0,0,0,0
46,Amber,35.5,Dust with grated nutmeg & apple wedge,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice.","[['4 slice', 'Root ginger (thumbnail-sized slice)'], ['4.5 cl', 'Bison grass vodka'], ['12 cl', 'Apple juice'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Apple Schnapps liqueur']]","[['4 slice', 'gin'], ['4.5 cl', 'vodka'], ['12 cl', 'apple juice'], ['1.5 cl', 'sugar syrup'], ['1.5 cl', 'schnapps']]",0.1617021276595744,0,0,0,0,0,0,0
47,Ambrosia,24.0,,"SHAKE first 4 ingredients with ice and strain into glass, TOP with champagne.","[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Avallen Calvados'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Brut Champagne']]","[['3 cl', 'cognac'], ['3 cl', 'calvados'], ['0.75 cl', 'triple sec'], ['0.75 cl', 'lemon juice'], ['Top up with', 'brut champagne']]",0.3417647058823529,0,0,0,0,0,0,0
48,Ambrosia Cocktail,17.75,Dust with grated nutmeg,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2 cl', 'Rémy Martin 1738 Cognac'], ['2.5 cl', 'Licor 43 Original liqueur'], ['1.25 cl', 'Yellow Chartreuse liqueur'], ['5 cl', 'Warninks Advocaat liqueur']]","[['2 cl', 'cognac'], ['2.5 cl', 'gin'], ['1.25 cl', 'yellow chartreuse liqueur'], ['5 cl', 'warninks advocaat liqueur']]",0.4337209302325581,0,0,0,0,0,0,0
49,American Beauty (by David Embury),17.75,Float mint leaf or red rose petal,SHAKE first 5 ingredients with CRUSHED ICE and fine strain into chilled glass. FLOAT red wine on surface of cocktail.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Grenadine syrup'], ['0.5 cl', 'Shiraz red wine']]","[['6 cl', 'cognac'], ['1.5 cl', 'dry vermouth'], ['1.5 cl', 'giffard menthe pastille white crème de menthe'], ['1.5 cl', 'orange juice'], ['1.5 cl', 'giffard grenadine syrup'], ['0.5 cl', 'shiraz red wine']]",0.2456,0,0,0,0,0,0,0
50,American Pie Cocktail,23.7,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Giffard Crème de Myrtille liqueur'], ['2.25 cl', 'Cranberry juice (sweetened)'], ['1.5 cl', 'Apple juice'], ['0.75 cl', 'Lime juice (freshly squeezed)']]","[['4.5 cl', 'bourbon whiskey'], ['1.5 cl', 'schnapps'], ['1.5 cl', 'giffard crème de myrtille liqueur'], ['2.25 cl', 'cranberry juice'], ['1.5 cl', 'apple juice'], ['0.75 cl', 'lime juice']]",0.2649999999999999,0,0,0,0,0,0,0
