,title,glass,garnish,recipe,ingredients,raw_ingredients,cocktail_strength,sweet_t,sour_t,savory_t,bitter_t,cream_t,spicy_t,fruity_t
5224,Fantasticus,20.7,None or float one tiny mint leaf from the tip of a sprig,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Italicus liqueur'], ['2.5 cl', 'Havana Club 3 Year Old rum'], ['0.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['3 cl', 'italicus liqueur'], ['2.5 cl', 'white rum'], ['0.25 cl', 'sugar syrup']]",0.4826086956521739,0,0,0,0,0,0,0
5225,Southern Smoke,17.75,Twist of orange peel.,"Add ingredients to a mixing glass with ice. Stir for 20-30 seconds, then strain into glass.","[['4.5 cl', 'Mezcal'], ['3 cl', 'Pisco'], ['1.5 cl', 'Cachaça'], ['1.5 cl', 'Orgeat (almond) sugar syrup'], ['2 dash', 'Fee Brothers Black Walnut bitters'], ['2 dash', 'Fee Brothers Aztec Chocolate bitters']]","[['4.5 cl', 'mezcal'], ['3 cl', 'pisco'], ['1.5 cl', 'cachaça'], ['1.5 cl', 'orgeat syrup'], ['2 dash', 'fee brothers black walnut bitters'], ['2 dash', 'fee brothers aztec chocolate bitters']]",0.3827586206896552,0,0,0,0,0,0,0
5226,Madeira's White Negroni,20.7,Lemon Wedge Twist,POUR all ingredients into ice-filled glass and STIR.,"[['3 cl', 'Gin'], ['3 cl', 'Lillet Blanc (or other aromatized wine)'], ['3 cl', 'Gonzalez Byass Tio Pepe Palomino Fino Sherry']]","[['3 cl', 'gin'], ['3 cl', 'lillet blanc'], ['3 cl', 'gonzalez byass tio pepe palomino fino sherry']]",0.2,0,0,0,0,0,0,0
5227,Stargazer,20.7,Lemon twist,STIR with ice and strain,"[['4.5 cl', 'Lillet Blanc'], ['4.5 cl', 'Rye whiskey (90 proof / 45% alc./vol.)'], ['1 dash', 'Angostura Aromatic Bitters']]","[['4.5 cl', 'lillet blanc'], ['4.5 cl', 'rye whiskey'], ['1 dash', 'angostura']]",0.2024999999999999,0,0,0,0,0,0,0
5228,Cubano Querido,20.7,Solo una roca grande de hielo,Refrescado,"[['4.5 cl', 'Ron Abuelo 7 Años Reserva Superior Rum'], ['3 cl', 'Conjure Cognac'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['2 dash', 'Dry vermouth']]","[['4.5 cl', 'ron abuelo 7 años reserva superior rum'], ['3 cl', 'cognac'], ['1 dash', ""peychaud's bitter""], ['2 dash', 'dry vermouth']]",0.4519047619047619,0,0,0,0,0,0,0
5229,Doug's Prado,23.7,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Reposado tequila (100% agave)'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Maraschino liqueur'], ['1.5 cl', 'Pasteurised egg white'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['6 cl', 'tequila'], ['3 cl', 'lime juice'], ['1.5 cl', 'maraschino liqueur'], ['1.5 cl', 'egg white'], ['2.25 cl', 'sugar syrup']]",0.2157894736842105,0,0,0,0,0,0,0
5230,Bee's knees,23.7,Lemon peel,"Add to ingredients in the shaker, add ice cubes and shake it until very cold","[['6 cl', 'Gin'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)']]","[['6 cl', 'gin'], ['2.25 cl', 'lemon juice'], ['1.5 cl', 'honey syrup']]",0.2338461538461538,0,0,0,0,0,0,0
5231,Almond White Russian Cocktail,20.7,Dust with grated nutmeg,"POUR vodka, coffee liqueur and Amaretto into a glass. Drop the ice and FLOAT lightly whipped cream on top of drink. Top with some grated nutmeg.","[['3 cl', 'Vodka'], ['2 cl', 'Kahlúa coffee liqueur'], ['1 cl', 'Amaretto liqueur'], ['1 cl', 'Single cream / half-and-half']]","[['3 cl', 'vodka'], ['2 cl', 'kahlúa coffee liqueur'], ['1 cl', 'amaretto'], ['1 cl', 'single cream / half-and-half']]",0.3428571428571429,0,0,0,0,0,0,0
5232,Rosato Tonic,36.0,Slice of lime,Place the ice into a wine glass and add the Aperitivo Rosato and tonic water. Finish off your cocktail by squeezing a slice of lime before dropping it into the glass.,"[['5 cl', 'Aperitivo Rosato Ramazzotti'], ['10 cl', 'Tonic water']]","[['5 cl', 'aperitivo rosato ramazzotti'], ['10 cl', 'tonic water']]",0.0,0,0,0,0,0,0,0
5233,Rosato & Co,36.0,Two slices of green apple.,"CRUSH a slice of green apple into a shaker, then add the Aperitivo Rosato, London Gin Dry, Ginger Syrup and lime juice. SHAKE until combined before pouring into a wine glass and adding the tonic water. Garnish with two slices of green apple and mint leaves.","[['5 cl', 'Aperitivo Rosato Ramazzotti'], ['1.5 cl', 'Gin'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Le Sirop de Monin Ginger Sugar Syrup'], ['Top up with', 'Tonic water']]","[['5 cl', 'aperitivo rosato ramazzotti'], ['1.5 cl', 'gin'], ['1.5 cl', 'lime juice'], ['1 cl', 'gin'], ['Top up with', 'tonic water']]",0.0447058823529411,0,0,0,0,0,0,0
